Mensaje,Etiqueta
"¡Dinero gratis! Haz clic aquí para reclamar tu premio.",1
"Hola, me gustaría programar una reunión contigo.",0
"¡Gana un iPhone gratis! Solo haz clic en este enlace.",1
"Hola, estoy interesado en tu producto.",0
"Gana $10,000 desde casa! Fácil y rápido.",1
"Hola, me gustaría discutir una oportunidad de negocio.",0
"URGENTE: Tu cuenta será cerrada si no haces clic aquí.",1
"Me gustaría solicitar una cotización para tus servicios.",0
"¡Enriquécete rápidamente con nuestro sistema probado!",1
"Hola, me comunico por una oportunidad de trabajo.",0
"Haz clic aquí para ver solteros sexys en tu área.",1
"Estoy interesado en aprender más sobre tu empresa.",0
"¡Gana dinero rápido con nuestro sistema fácil!",1
"Hola, me gustaría programar una llamada para discutir más a fondo.",0
"URGENTE: Tu paquete ha sido retrasado. Haz clic aquí.",1
"Me gustaría solicitar más información sobre tu producto.",0
"¡Gana un viaje gratis a Hawái! Solo ingresa tu correo electrónico.",1
"Hola, estoy interesado en tus servicios.",0
"Obtén un informe de crédito gratis! Solo haz clic aquí.",1
"Me gustaría discutir una posible asociación.",0
"¡Gana dinero desde casa con nuestro sistema probado!",1
"Hola, me gustaría solicitar una demostración de tu producto.",0
"URGENTE: Tu cuenta ha sido comprometida. Haz clic aquí.",1
"Estoy interesado en aprender más sobre tus servicios.",0
"Haz clic aquí para ver ofertas increíbles en productos!",1
"Hola, me gustaría programar una reunión para discutir más a fondo.",0
"¡Gana dinero rápido con nuestro sistema fácil!",1
"Me gustaría solicitar más información sobre tu empresa.",0
"Dinero gratis",1
"Programar una llamada para discutir más a fondo",0